"Symbol","Name","Sector","Price","Dividend","EPS","Book Value","52 week low","52 week high","Market Cap"
"ICE","Intercontinental Exchange","Financials",256.89,3.44,11.68,126.45,220.28,271.95,29.55
"IBM","International Bus. Machines","Information Technology",154.46,5.67,13.19,15.55,116.9,173.78,148.28
"IP","International Paper","Materials",42.75,1.79,2.29,10.3,32.5,49.49,17.58
"IPG","Interpublic Group","Consumer Discretionary",23.73,0.60,1.11,4.82,18.16,24.82,9.55
"IFF","Intl Flavors & Fragrances","Materials",129.53,2.28,5.06,20.44,97.24,131.3,10.33
"INTU","Intuit Inc.","Information Technology",115.48,1.34,3.83,4.87,79.63,116.03,29.55
"ISRG","Intuitive Surgical Inc.","Health Care",678.84,- 0,16.49,124.68,447,680.5,25.84
"IVZ","Invesco Ltd.","Financials",25.63,1.14,2.04,18.94,23.02,39.48,10.69
"IRM","Iron Mountain Incorporated","Industrials",39.85,2.03,0.69,2.34,23.64,40.61,8.45
"JBHT","J. B. Hunt Transport Services","Industrials",85,0.92,3.76,11.42,63.58,89.43,9.58
"JEC","Jacobs Engineering Group","Industrials",51.25,- 0,1.89,35.83,34.76,53.33,6.25
"JNJ","Johnson & Johnson","Health Care",122.85,3.21,5.49,26.4,81.79,123.23,337.92
"JCI","Johnson Controls","Consumer Discretionary",43.84,1.19,0.69,15.4,33.62,49.67,28.42
"JPM","JPMorgan Chase & Co.","Financials",61.83,1.76,5.9,61.29,50.07,70.61,226.06
"JNPR","Juniper Networks","Information Technology",22.66,0.41,1.64,12.01,21.18,32.39,8.7
"KSU","Kansas City Southern","Industrials",90.2,1.36,4.48,36.45,62.2,101.24,9.74
"K","Kellogg Co.","Consumer Staples",82.64,2.00,1.57,5.8,63.52,83.19,28.93
"KEY","KeyCorp","Financials",11.09,0.28,1.01,12.79,9.88,15.46,9.34
"KMB","Kimberly-Clark","Consumer Staples",135.96,3.66,2.99,0.3,103.04,138.87,48.96
"KIM","Kimco Realty","Financials",31.54,1.03,1.6,12.39,22.07,31.8,13.24
"KMI","Kinder Morgan","Energy",18.54,0.54,0.03,15.78,11.2,38.58,41.37
"KLAC","KLA-Tencor Corp.","Information Technology",73.75,2.12,3.65,3.06,44.95,75.17,11.48
"KSS","Kohl's Corp.","Consumer Discretionary",39.29,2.05,2.96,28.63,33.87,64.93,7.22
"KHC","Kraft Heinz Co","Consumer Staples",89.85,2.30,0.53,47.75,61.42,90.26,109.25
"KR","Kroger Co.","Consumer Staples",37.86,0.49,2.14,6.81,27.32,42.75,35.93
"LB","L Brands Inc.","Consumer Discretionary",69.18,2.43,3.91,-3.77,60,101.11,19.89
"LLL","L-3 Communications Holdings","Industrials",149.72,2.86,-1.48,56.61,101.11,150.77,11.52
"LH","Laboratory Corp. of America Holding","Health Care",135.3,- 0,5.76,50.6,97.79,135.63,13.85
"LRCX","Lam Research","Information Technology",84.88,1.24,4.49,35.73,61.2,87.19,13.55
"LM","Legg Mason","Financials",29.81,0.91,-0.25,39.38,24.93,52.57,3.14
"LEG","Leggett & Platt","Industrials",52.03,1.38,2.41,8.03,36.64,52.03,6.99
"LEN","Lennar Corp.","Consumer Discretionary",49.16,0.17,3.75,27.92,37.14,56.04,10.77
"LUK","Leucadia National Corp.","Financials",17.46,0.25,-0.87,27.85,14.27,25.39,6.33
"LVLT","Level 3 Communications","Telecommunications Services",52.73,- 0,9.52,28.97,40.86,56.11,18.87
"LLY","Lilly (Eli) & Co.","Health Care",79.66,2.03,2.17,14.16,67.88,92.85,84.43
"LNC","Lincoln National","Financials",38.88,1.04,4.19,61.33,30.39,59.51,9.29
"LLTC","Linear Technology Corp.","Information Technology",47.31,1.31,2.02,7.04,36.41,47.89,11.31
"LKQ","LKQ Corporation","Consumer Discretionary",33.09,- 0,1.38,10.55,23.95,34.26,10.15
"LMT","Lockheed Martin Corp.","Industrials",251.9,6.65,11.31,10.44,181.91,252.3,76.69
"L","Loews Corp.","Financials",40.78,0.25,0.71,52.6,33.84,41.25,13.83
"LOW","Lowe's Cos.","Consumer Discretionary",82.34,1.43,3,8.07,62.62,82.42,72.96
"LYB","LyondellBasell","Materials",76.74,3.50,9.55,14.82,69.1,101.49,32.75
"MTB","M&T Bank Corp.","Financials",115.94,2.84,7.25,95.02,100.08,134,18.43
"MAC","Macerich","Financials",87.49,3.14,5.64,31.23,71.82,87.54,12.99
"M","Macy's Inc.","Consumer Discretionary",34.36,1.54,3.06,13.45,29.94,73.61,10.6
"MNK","Mallinckrodt Plc","Health Care",62.29,- 0,3.98,46.64,50.9,127,6.81
"MRO","Marathon Oil Corp.","Energy",14.92,0.20,-3.39,22.82,6.52,25.25,12.65
"MPC","Marathon Petroleum","Energy",36.4,1.28,3.65,24.34,29.24,60.38,19.29
"MAR","Marriott Int'l.","Consumer Discretionary",69.85,1.23,3.27,-14.43,56.43,79.88,17.76
"MMC","Marsh & McLennan","Financials",67.17,1.37,3,12.82,50.81,68.69,35.01
"MLM","Martin Marietta Materials","Materials",196.7,1.61,4.94,62.08,108.31,198.23,12.5
"MAS","Masco Corp.","Industrials",32.22,0.40,1.17,-0.38,22.52,32.92,10.59
"MA","Mastercard Inc.","Information Technology",88.56,0.77,3.32,4.97,74.61,101.76,97.33
"MAT","Mattel Inc.","Consumer Discretionary",32.62,1.53,1.03,7.27,19.45,34.76,11.11
"MKC","McCormick & Co.","Consumer Staples",106.96,1.73,3.37,13.87,75.68,107.84,13.55
"MCD","McDonald's Corp.","Consumer Discretionary",121.31,3.57,5.2,4.4,87.5,131.96,106.49
"MCK","McKesson Corp.","Health Care",192.79,1.12,9.7,39.66,148.29,236.86,43.38
"MJN","Mead Johnson","Consumer Staples",89.36,1.65,2.65,-3.4,65.53,92.01,16.68
"MDT","Medtronic plc","Health Care",88.36,1.74,2.48,37.21,55.54,88.56,123.24
"MRK","Merck & Co.","Health Care",59.35,1.86,1.63,15.82,45.69,60.07,164.28
"MET","MetLife Inc.","Financials",39.2,1.64,4.66,68.98,35,58.13,43.07
"KORS","Michael Kors Holdings","Consumer Discretionary",50.23,- 0,4.44,11.34,34.83,59.49,8.84
"MCHP","Microchip Technology","Information Technology",51.87,1.48,1.49,10.54,37.77,53.17,11.14
"MU","Micron Technology","Information Technology",12.62,- 0,0.34,11.75,9.31,20.57,13.1
"MSFT","Microsoft Corp.","Information Technology",52.3,1.44,1.3,9.51,39.72,56.85,411.1
"MHK","Mohawk Industries","Consumer Discretionary",194.2,- 0,49.9,69.51,148.56,212.16,14.39
"TAP","Molson Coors Brewing Company","Consumer Staples",102.56,1.68,2.3,46.1,63.91,104.15,22.02
"MDLZ","Mondelez International","Consumer Staples",46.1,0.70,4.64,17.86,35.88,48.58,71.55
"MON","Monsanto Co.","Materials",102.68,2.21,2.27,11.68,81.22,114.26,44.93
"MNST","Monster Beverage","Consumer Staples",161.5,- 0,3.51,24.58,113.08,162.33,32.79
"MCO","Moody's Corp","Financials",96.73,1.52,4.45,-2.99,77.76,113.87,18.79
"MS","Morgan Stanley","Financials",26.37,0.62,2.27,35.33,21.16,41.04,51.08
"MSI","Motorola Solutions Inc.","Information Technology",66.38,1.67,2.89,-0.84,57.79,76.83,11.59
"MUR","Murphy Oil","Energy",30.66,1.56,-14.2,30.23,14.3,40.89,5.28
"MYL","Mylan N.V.","Health Care",44.54,- 0,1.56,20.91,37.59,71.95,22.64
